id_municipio,sigla_uf,nome,i111,i112,i113,i121,i122,i123,i124,i131,i132,i133,i211,i212,i213,i221,i222,i223,i224,i311,i312,i313,i321,i322,i323,i411,i412,i413,i511,i512,i513,i514,i515,i521,i522,i523,i524,i611,i612,i613,i614,i615,i621,i622,i623,i711,i712,i721,i722,i723,i724
3300456,RJ,Belford Roxo,0.02362604497757533,0.0162090373984493,1.0301640107123426,10.782704238677155,183.562962824208,179.020696623879,0.6715,6.109327738942181e-5,1,0,4,10193,0.02222222222222222,1.738211321528043,3.0803917923862543e-4,1.682114080976972,3032.5706214689267,0.763,-0.006523540855792043,0.016554508748317633,45544.797042147526,1.1305769327498616,1330328.15344791,0.0808431541034489,0,1603.7280815311,0,0.0282985496993279,0,0,60.9336609336609,0.00105764145954521,0.014806980433633,0.0407191961924907,0.0285563194077208,3.8,0.407006920415225,0.321525315729263,490.070346368715,0.00311468217904285,0.0441176470588235,0,4270.72829535865,0,0,0,0,0,0
5300108,DF,Brasilia,0.02016084852472754,0.0162090373984493,1.0294945985536754,10.782704238677155,180.679901551997,143.46107117173,0.4233,6.068083113456149e-5,1,0,5,10193,0.0217391304347826,2.282360342471813,3.260111631376011e-4,1.682114080976972,4102.056451612903,0.809,-0.0075736211399729525,0.005967604433077579,24936.095531130708,1.128344671201814,1300774.6948201,0.622193961824516,38500000,28852.0511148635,0.0112339858742705,0.0540847752178472,244.610425173943,1,130.919605907918,0.00469689269002261,0.00406596680628823,0.0794090327555688,0.0763069804938748,4.6,0.597864768683274,0.600477911186754,541.717099850011,0.0116306344432433,0.275421115065243,0.339875596352437,6647.87169412748,39,72,75,57,100,43
2905701,BA,Camacari,0.02812851020730911,0.01713982791015774,1.0100600486156388,12.56967610508114,59.1206194238651,85.6214789443702,0.5286,7.848516204897675e-6,1,0.1,10,17,0.00143266475644699,3.1883513229214824,2.0897566792075028e-4,1.4199603831053114,3958.965517241379,0.8,-0.04318170625287204,0.006852886405959032,52149.65927343704,0.7474078612498822,1286321.9827706,0.0607035143270268,0,6480.8829849163,0,0.211311768929445,0,0,90.6232132647227,0.00689061154177433,0.0358886017800746,0.0367499282227964,0.0215331610680448,4.2,0.50305576776165,0.544119774610159,504.506074074074,0.020495729873973,0.0817417876241406,0.208904109589041,8152.63850169491,0,0,0,0,0,0
2303709,CE,Caucaia,0.03854783548214202,0.0162090373984493,1.0306786693447887,10.554393668920394,194.205912095046,244.154435088716,0.5891,6.418397726206221e-5,1,125,12,13633,0.02564102564102564,2.985432456498676,3.9904095164902225e-4,1.6984272563606102,10633.65625,0.763,-0.004362217697728099,0.005328166626301768,44522.834505283616,1.1811494252873564,1167729.53277712,0.180510021625779,0,1400.03702719846,0,0.0693494121649718,0,0,66.1736084079408,0.00276134122287968,0.0291913214990138,0.0307692307692308,0.0157790927021696,4.2,0.23551705468327,0.3938445512632,483.955985832349,0.00584936263488321,0.0300487276664862,0,3607.49066802999,0,0,0,0,0,0
1302603,AM,Manaus,0.08676576846121356,0.02160845318935661,1.026404979068711,11.706666451627685,147.741654726838,75.2521346749812,0.7432,5.236716164328254e-5,0,0.02702702702702703,13,5640,0.01428571428571428,1.7400762592815573,3.9133734134971695e-4,1.6788100594298765,3698.3203125,0.783,-0.012631243492333522,0.0018820577164366374,19726.46679720612,1.0457220461747396,1094387.17745922,0.184673206170718,0,7796.10756579516,0.0222491209868004,0.123320267493735,5109.23988010836,0,98.22385114181,0.00357369300824255,0.0159086979076604,0.0509539454723615,0.0506657444233097,4.8,0.56529954773558,0.595696355965614,497.33361138595,0.0084106017880358,0.153986741837557,0.102099927588704,6189.57494518103,41,57,59,41,60,51
3551009,SP,Sao Vicente,0.00608727381465831,0.01713982791015774,1.0066873271383243,7.926936006302685,18.1276246603256,51.715744787903,0.7382,5.016273572529754e-6,1,0,14,6,0.00112485939257592,1.199891053802273,2.702139169859842e-4,1.305534159301278,2626,0.8,-0.05360682977276682,0.004956463496316142,37277.095682907035,0.6120973044049967,1078478.37889588,0.288604917130103,0,5837.36500745607,0,0.0274555620462322,0,0,67.2699849170437,0.00314564328405159,0.00471846492607738,0.0437244416483171,0.0471846492607738,4.9,0.537169406719085,0.506373827772869,523.879221871714,0.00687730327364904,0.128305932809149,0.0419254658385093,4659.68945418127,0,0,0,0,0,0
3301702,RJ,Duque De Caxias,0.02004184427266427,0.01437148049998785,1.037190197691865,13.9047278882575,252.453720292877,75.8836711056235,0.6263,1.1185473824702344e-4,1,0,8,18195,0.04166666666666666,1.0984017983766916,3.98425888322934e-4,1.789517009359174,2534.6363636363635,0.756,0.002987206536456233,0.001806382551682612,22126.34451126156,1.296760833963215,1073241.89686774,0.157336849365604,0,5694.9519403431505,0.00416003915330968,0.0559042065066161,53.5654839104368,0,96.8540120183811,0.00587299645173131,0.0280190872384681,0.033769729597455,0.0264284840327909,3.8,0.4519669327252,0.473868634550171,513.973580846634,0.0251346092863572,0.0808152793614595,0.0809417040358744,5111.56674756354,50,87,0,0,0,53
3518701,SP,Guaruja,0,0.01713982791015774,1.0039358573959418,7.4049332491573265,0,0,0.5871,3.938922479099605e-6,1,0,4,6,8.9126559714795e-4,2.664792822953589,4.09914140152798e-4,1.305534159301278,3136.342741935484,0.678,-0.0748683575042691,0.0032358552075535487,33004.00672391949,0.3955925826390756,1021567.87033354,0.166035460597843,0,7895.8695876939,0,0.0374709527498064,0,0,45.1282051282051,4.2220814861726e-4,0.00168883259446907,0.0278657378087397,0.0223770318767152,5.2,0.515946502057613,0.562139632805365,513.028879551821,0.0112505501759342,0.141460905349794,0.0461401952085182,4950.23989361702,0,0,0,0,0,0
3548708,SP,Sao Bernardo Do Campo,0.01282959985482208,0.0642636653169624,1.0198880445434912,14.802278840601842,99.5073164488408,64.6107102889818,0.4838,2.5247056032637325e-5,1,0.1111111111111111,19,1127,0.0053475935828877,2.6321442197227887,3.24400874953183e-4,1.614257118873894,13404.942857142856,0.8,-0.024104252471212922,0.00484676757885318,38449.7037556576,0.9256607700312176,1001093.90973573,0.340987093041934,0,18378.8744119717,0.00479811028271942,0.144856327655575,362.427105632243,0,138.462667939212,0.00612681774562634,0.0320366132723112,0.0985458034989296,0.168155311138998,5.6,0.653871681415929,0.626962401662469,545.914638055843,0.0122396841935802,0.227101769911504,0.362077815419361,10228.8618205044,29,80,54,63,63,76
1400100,RR,Boa Vista,0.01276016606439377,0.01538738625202604,1.0624054841021868,10.782704238677155,365.96157138351,0,0.6556,1.61381201889593e-4,1,0.037037037037037035,13,33199,0.08333333333333333,1.467172386061548,2.385947836252899e-4,1.8372221201543264,3443.395604395604,0.806,0.01603225256538801,0.0020981278244028407,32293.885477377466,1.546597000135129,995830.088152821,0.374091669550315,0,5019.7571090563,0.0104736967388717,0.0241044814693568,190.430849797667,0,54.4398741834019,0.00190430849797667,0.00190430849797667,0.0485598666984051,0.0257081647226851,4.3,0.602503912363067,0.506586740378486,508.167809025507,0.0134082755484716,0.227699530516432,0.0793601003764115,4017.31924890536,0,0,100,0,0,0
