"id_municipio","nome","sigla_uf","i712","i712_pad"
3118601,"Contagem","MG",100,1.78420285232972
4305108,"Caxias do Sul","RS",95,1.65333539547765
3205200,"Vila Velha","ES",92,1.57481492136641
3304904,"São Gonçalo","RJ",89,1.49629444725517
3303302,"Niterói","RJ",89,1.49629444725517
3303500,"Nova Iguaçu","RJ",88,1.47012095588475
3301702,"Duque de Caxias","RJ",87,1.44394746451434
3552205,"Sorocaba","SP",85,1.39160048177351
3304557,"Rio de Janeiro","RJ",81,1.28690651629185
3106200,"Belo Horizonte","MG",81,1.28690651629185
3136702,"Juiz de Fora","MG",81,1.28690651629185
4106902,"Curitiba","PR",80,1.26073302492144
3548708,"São Bernardo do Campo","SP",80,1.26073302492144
3549904,"São José dos Campos","SP",80,1.26073302492144
4209102,"Joinville","SC",80,1.26073302492144
4205407,"Florianópolis","SC",80,1.26073302492144
5208707,"Goiânia","GO",78,1.20838604218061
3543402,"Ribeirão Preto","SP",78,1.20838604218061
5103403,"Cuiabá","MT",78,1.20838604218061
2927408,"Salvador","BA",77,1.1822125508102
3548500,"Santos","SP",77,1.1822125508102
5002704,"Campo Grande","MS",76,1.15603905943978
4113700,"Londrina","PR",76,1.15603905943978
4115200,"Maringá","PR",76,1.15603905943978
3550308,"São Paulo","SP",75,1.12986556806937
3547809,"Santo André","SP",74,1.10369207669895
4314902,"Porto Alegre","RS",73,1.07751858532854
2507507,"João Pessoa","PB",73,1.07751858532854
5300108,"Brasília","DF",72,1.05134509395813
3509502,"Campinas","SP",72,1.05134509395813
2408102,"Natal","RN",72,1.05134509395813
3170206,"Uberlândia","MG",72,1.05134509395813
3534401,"Osasco","SP",71,1.02517160258771
3513801,"Diadema","SP",71,1.02517160258771
2704302,"Maceió","AL",68,0.946651128476468
2611606,"Recife","PE",67,0.920477637106054
2910800,"Feira de Santana","BA",67,0.920477637106054
1501402,"Belém","PA",65,0.868130654365226
2800308,"Aracaju","SE",65,0.868130654365226
2304400,"Fortaleza","CE",64,0.841957162994811
1302603,"Manaus","AM",57,0.658742723401911
2111300,"São Luís","MA",53,0.554048757920254
3518800,"Guarulhos","SP",0,-0.833146284711701
2211001,"Teresina","PI",0,-0.833146284711701
2607901,"Jaboatão dos Guararapes","PE",0,-0.833146284711701
5201405,"Aparecida de Goiânia","GO",0,-0.833146284711701
1100205,"Porto Velho","RO",0,-0.833146284711701
1500800,"Ananindeua","PA",0,-0.833146284711701
3205002,"Serra","ES",0,-0.833146284711701
1600303,"Macapá","AP",0,-0.833146284711701
3300456,"Belford Roxo","RJ",0,-0.833146284711701
3301009,"Campos dos Goytacazes","RJ",0,-0.833146284711701
3529401,"Mauá","SP",0,-0.833146284711701
3305109,"São João de Meriti","RJ",0,-0.833146284711701
3549805,"São José do Rio Preto","SP",0,-0.833146284711701
3530607,"Mogi das Cruzes","SP",0,-0.833146284711701
3106705,"Betim","MG",0,-0.833146284711701
1400100,"Boa Vista","RR",0,-0.833146284711701
3525904,"Jundiaí","SP",0,-0.833146284711701
1200401,"Rio Branco","AC",0,-0.833146284711701
3143302,"Montes Claros","MG",0,-0.833146284711701
2504009,"Campina Grande","PB",0,-0.833146284711701
3538709,"Piracicaba","SP",0,-0.833146284711701
3510609,"Carapicuíba","SP",0,-0.833146284711701
5201108,"Anápolis","GO",0,-0.833146284711701
2609600,"Olinda","PE",0,-0.833146284711701
3201308,"Cariacica","ES",0,-0.833146284711701
3506003,"Bauru","SP",0,-0.833146284711701
3523107,"Itaquaquecetuba","SP",0,-0.833146284711701
3551009,"São Vicente","SP",0,-0.833146284711701
3205309,"Vitória","ES",0,-0.833146284711701
2604106,"Caruaru","PE",0,-0.833146284711701
2303709,"Caucaia","CE",0,-0.833146284711701
4202404,"Blumenau","SC",0,-0.833146284711701
2611101,"Petrolina","PE",0,-0.833146284711701
4119905,"Ponta Grossa","PR",0,-0.833146284711701
3516200,"Franca","SP",0,-0.833146284711701
4304606,"Canoas","RS",0,-0.833146284711701
4314407,"Pelotas","RS",0,-0.833146284711701
2933307,"Vitória da Conquista","BA",0,-0.833146284711701
3154606,"Ribeirão das Neves","MG",0,-0.833146284711701
3170107,"Uberaba","MG",0,-0.833146284711701
2610707,"Paulista","PE",0,-0.833146284711701
3541000,"Praia Grande","SP",0,-0.833146284711701
4104808,"Cascavel","PR",0,-0.833146284711701
4125506,"São José dos Pinhais","PR",0,-0.833146284711701
3518701,"Guarujá","SP",0,-0.833146284711701
3554102,"Taubaté","SP",0,-0.833146284711701
1721000,"Palmas","TO",0,-0.833146284711701
3526902,"Limeira","SP",0,-0.833146284711701
2905701,"Camaçari","BA",0,-0.833146284711701
1506807,"Santarém","PA",0,-0.833146284711701
3303906,"Petrópolis","RJ",0,-0.833146284711701
2408003,"Mossoró","RN",0,-0.833146284711701
3552502,"Suzano","SP",0,-0.833146284711701
3552809,"Taboão da Serra","SP",0,-0.833146284711701
5108402,"Várzea Grande","MT",0,-0.833146284711701
3552403,"Sumaré","SP",0,-0.833146284711701
1504208,"Marabá","PA",0,-0.833146284711701
4309209,"Gravataí","RS",0,-0.833146284711701
4316907,"Santa Maria","RS",0,-0.833146284711701
