"id_municipio","nome","sigla_uf","i721","i721_pad"
1400100,"Boa Vista","RR",100,2.67361093197841
1600303,"Macapá","AP",91,2.36940360475744
1500800,"Ananindeua","PA",90,2.33560279062177
1501402,"Belém","PA",88,2.26800116235044
2800308,"Aracaju","SE",78,1.9299930209938
2408102,"Natal","RN",76,1.86239139272248
5300108,"Brasília","DF",75,1.82859057858681
5103403,"Cuiabá","MT",66,1.52438325136584
2211001,"Teresina","PI",65,1.49058243723017
4305108,"Caxias do Sul","RS",64,1.45678162309451
5208707,"Goiânia","GO",60,1.32157836655185
2111300,"São Luís","MA",60,1.32157836655185
2507507,"João Pessoa","PB",60,1.32157836655185
1302603,"Manaus","AM",59,1.28777755241619
2910800,"Feira de Santana","BA",59,1.28777755241619
4205407,"Florianópolis","SC",59,1.28777755241619
2927408,"Salvador","BA",57,1.22017592414486
5002704,"Campo Grande","MS",57,1.22017592414486
2611606,"Recife","PE",55,1.15257429587353
2704302,"Maceió","AL",54,1.11877348173787
3548708,"São Bernardo do Campo","SP",54,1.11877348173787
3106200,"Belo Horizonte","MG",53,1.0849726676022
3543402,"Ribeirão Preto","SP",53,1.0849726676022
3118601,"Contagem","MG",53,1.0849726676022
2304400,"Fortaleza","CE",50,0.983570225195212
3550308,"São Paulo","SP",48,0.915968596923884
3549904,"São José dos Campos","SP",48,0.915968596923884
3534401,"Osasco","SP",47,0.88216778278822
3552205,"Sorocaba","SP",46,0.848366968652556
4106902,"Curitiba","PR",45,0.814566154516892
3513801,"Diadema","SP",45,0.814566154516892
4314902,"Porto Alegre","RS",42,0.7131637121099
3509502,"Campinas","SP",42,0.7131637121099
3547809,"Santo André","SP",41,0.679362897974236
3170206,"Uberlândia","MG",36,0.510358827295917
3304557,"Rio de Janeiro","RJ",35,0.476558013160253
3518800,"Guarulhos","SP",0,-0.706470481587987
3304904,"São Gonçalo","RJ",0,-0.706470481587987
3301702,"Duque de Caxias","RJ",0,-0.706470481587987
3303500,"Nova Iguaçu","RJ",0,-0.706470481587987
2607901,"Jaboatão dos Guararapes","PE",0,-0.706470481587987
4209102,"Joinville","SC",0,-0.706470481587987
5201405,"Aparecida de Goiânia","GO",0,-0.706470481587987
4113700,"Londrina","PR",0,-0.706470481587987
3136702,"Juiz de Fora","MG",0,-0.706470481587987
1100205,"Porto Velho","RO",0,-0.706470481587987
3205002,"Serra","ES",0,-0.706470481587987
3303302,"Niterói","RJ",0,-0.706470481587987
3300456,"Belford Roxo","RJ",0,-0.706470481587987
3301009,"Campos dos Goytacazes","RJ",0,-0.706470481587987
3205200,"Vila Velha","ES",0,-0.706470481587987
3529401,"Mauá","SP",0,-0.706470481587987
3305109,"São João de Meriti","RJ",0,-0.706470481587987
3549805,"São José do Rio Preto","SP",0,-0.706470481587987
3530607,"Mogi das Cruzes","SP",0,-0.706470481587987
3106705,"Betim","MG",0,-0.706470481587987
4115200,"Maringá","PR",0,-0.706470481587987
3548500,"Santos","SP",0,-0.706470481587987
3525904,"Jundiaí","SP",0,-0.706470481587987
1200401,"Rio Branco","AC",0,-0.706470481587987
3143302,"Montes Claros","MG",0,-0.706470481587987
2504009,"Campina Grande","PB",0,-0.706470481587987
3538709,"Piracicaba","SP",0,-0.706470481587987
3510609,"Carapicuíba","SP",0,-0.706470481587987
5201108,"Anápolis","GO",0,-0.706470481587987
2609600,"Olinda","PE",0,-0.706470481587987
3201308,"Cariacica","ES",0,-0.706470481587987
3506003,"Bauru","SP",0,-0.706470481587987
3523107,"Itaquaquecetuba","SP",0,-0.706470481587987
3551009,"São Vicente","SP",0,-0.706470481587987
3205309,"Vitória","ES",0,-0.706470481587987
2604106,"Caruaru","PE",0,-0.706470481587987
2303709,"Caucaia","CE",0,-0.706470481587987
4202404,"Blumenau","SC",0,-0.706470481587987
2611101,"Petrolina","PE",0,-0.706470481587987
4119905,"Ponta Grossa","PR",0,-0.706470481587987
3516200,"Franca","SP",0,-0.706470481587987
4304606,"Canoas","RS",0,-0.706470481587987
4314407,"Pelotas","RS",0,-0.706470481587987
2933307,"Vitória da Conquista","BA",0,-0.706470481587987
3154606,"Ribeirão das Neves","MG",0,-0.706470481587987
3170107,"Uberaba","MG",0,-0.706470481587987
2610707,"Paulista","PE",0,-0.706470481587987
3541000,"Praia Grande","SP",0,-0.706470481587987
4104808,"Cascavel","PR",0,-0.706470481587987
4125506,"São José dos Pinhais","PR",0,-0.706470481587987
3518701,"Guarujá","SP",0,-0.706470481587987
3554102,"Taubaté","SP",0,-0.706470481587987
1721000,"Palmas","TO",0,-0.706470481587987
3526902,"Limeira","SP",0,-0.706470481587987
2905701,"Camaçari","BA",0,-0.706470481587987
1506807,"Santarém","PA",0,-0.706470481587987
3303906,"Petrópolis","RJ",0,-0.706470481587987
2408003,"Mossoró","RN",0,-0.706470481587987
3552502,"Suzano","SP",0,-0.706470481587987
3552809,"Taboão da Serra","SP",0,-0.706470481587987
5108402,"Várzea Grande","MT",0,-0.706470481587987
3552403,"Sumaré","SP",0,-0.706470481587987
1504208,"Marabá","PA",0,-0.706470481587987
4309209,"Gravataí","RS",0,-0.706470481587987
4316907,"Santa Maria","RS",0,-0.706470481587987
