"id_municipio","nome","sigla_uf","i412","i412_pad"
"3550308","São Paulo","SP",0.0554378717600585,6.92897439846393
"4106902","Curitiba","PR",0.0416946039204763,5.15630729528742
"3106200","Belo Horizonte","MG",0.0355182991846352,4.35966035860429
"4314902","Porto Alegre","RS",0.0130165652408731,1.45728779393267
"3304557","Rio de Janeiro","RJ",0.00859953067674983,0.887559257982589
"4113700","Londrina","PR",0.00501148714792118,0.424757630119294
"4205407","Florianópolis","SC",0.00290927435424201,0.153604982384448
"2927408","Salvador","BA",0.00273661985401814,0.131335245933505
"2611606","Recife","PE",0.00223657773918808,0.0668376157113015
"4209102","Joinville","SC",0.00168909689878703,-0.00377886988197343
"3549904","São José dos Campos","SP",0.00121724636026218,-0.0646402266584233
"3170107","Uberaba","MG",0.000933038430197134,-0.101298614893947
"5208707","Goiânia","GO",0.000609835866975045,-0.142986702339643
"4202404","Blumenau","SC",0.000560181694543446,-0.149391315786195
"3552205","Sorocaba","SP",0.000428385528920892,-0.166390964621607
"4104808","Cascavel","PR",0.000326705045109074,-0.17950616042454
"3136702","Juiz de Fora","MG",0.000180818534607471,-0.198323243885476
"5300108","Brasília","DF",0.000151088699236519,-0.202157928747918
"3552403","Sumaré","SP",7.61830991494681e-05,-0.211819582342093
"2304400","Fortaleza","CE",7.46000450581527e-05,-0.212023771618107
"3543402","Ribeirão Preto","SP",7.31191258972591e-05,-0.212214787081796
"3509502","Campinas","SP",3.74609535537307e-05,-0.216814134908717
"3170206","Uberlândia","MG",2.67074107974744e-05,-0.218201174127418
"3538709","Piracicaba","SP",7.56971557788377e-06,-0.220669638188686
"3525904","Jundiaí","SP",4.92747552039008e-06,-0.221010445926939
"1302603","Manaus","AM",0,-0.221646013381394
"1501402","Belém","PA",0,-0.221646013381394
"3518800","Guarulhos","SP",0,-0.221646013381394
"2111300","São Luís","MA",0,-0.221646013381394
"3304904","São Gonçalo","RJ",0,-0.221646013381394
"2704302","Maceió","AL",0,-0.221646013381394
"3301702","Duque de Caxias","RJ",0,-0.221646013381394
"5002704","Campo Grande","MS",0,-0.221646013381394
"2408102","Natal","RN",0,-0.221646013381394
"2211001","Teresina","PI",0,-0.221646013381394
"3548708","São Bernardo do Campo","SP",0,-0.221646013381394
"2507507","João Pessoa","PB",0,-0.221646013381394
"3303500","Nova Iguaçu","RJ",0,-0.221646013381394
"3547809","Santo André","SP",0,-0.221646013381394
"2607901","Jaboatão dos Guararapes","PE",0,-0.221646013381394
"3534401","Osasco","SP",0,-0.221646013381394
"3118601","Contagem","MG",0,-0.221646013381394
"2800308","Aracaju","SE",0,-0.221646013381394
"2910800","Feira de Santana","BA",0,-0.221646013381394
"5103403","Cuiabá","MT",0,-0.221646013381394
"5201405","Aparecida de Goiânia","GO",0,-0.221646013381394
"1100205","Porto Velho","RO",0,-0.221646013381394
"1500800","Ananindeua","PA",0,-0.221646013381394
"3205002","Serra","ES",0,-0.221646013381394
"4305108","Caxias do Sul","RS",0,-0.221646013381394
"1600303","Macapá","AP",0,-0.221646013381394
"3303302","Niterói","RJ",0,-0.221646013381394
"3300456","Belford Roxo","RJ",0,-0.221646013381394
"3301009","Campos dos Goytacazes","RJ",0,-0.221646013381394
"3205200","Vila Velha","ES",0,-0.221646013381394
"3529401","Mauá","SP",0,-0.221646013381394
"3305109","São João de Meriti","RJ",0,-0.221646013381394
"3549805","São José do Rio Preto","SP",0,-0.221646013381394
"3530607","Mogi das Cruzes","SP",0,-0.221646013381394
"3106705","Betim","MG",0,-0.221646013381394
"1400100","Boa Vista","RR",0,-0.221646013381394
"4115200","Maringá","PR",0,-0.221646013381394
"3548500","Santos","SP",0,-0.221646013381394
"3513801","Diadema","SP",0,-0.221646013381394
"1200401","Rio Branco","AC",0,-0.221646013381394
"3143302","Montes Claros","MG",0,-0.221646013381394
"2504009","Campina Grande","PB",0,-0.221646013381394
"3510609","Carapicuíba","SP",0,-0.221646013381394
"5201108","Anápolis","GO",0,-0.221646013381394
"2609600","Olinda","PE",0,-0.221646013381394
"3201308","Cariacica","ES",0,-0.221646013381394
"3506003","Bauru","SP",0,-0.221646013381394
"3523107","Itaquaquecetuba","SP",0,-0.221646013381394
"3551009","São Vicente","SP",0,-0.221646013381394
"3205309","Vitória","ES",0,-0.221646013381394
"2604106","Caruaru","PE",0,-0.221646013381394
"2303709","Caucaia","CE",0,-0.221646013381394
"2611101","Petrolina","PE",0,-0.221646013381394
"4119905","Ponta Grossa","PR",0,-0.221646013381394
"3516200","Franca","SP",0,-0.221646013381394
"4304606","Canoas","RS",0,-0.221646013381394
"4314407","Pelotas","RS",0,-0.221646013381394
"2933307","Vitória da Conquista","BA",0,-0.221646013381394
"3154606","Ribeirão das Neves","MG",0,-0.221646013381394
"2610707","Paulista","PE",0,-0.221646013381394
"3541000","Praia Grande","SP",0,-0.221646013381394
"4125506","São José dos Pinhais","PR",0,-0.221646013381394
