"id_municipio","nome","sigla_uf","i722","i722_pad"
3547809,"Santo André","SP",69,2.4672874592154
3513801,"Diadema","SP",65,2.28986059315577
3548708,"São Bernardo do Campo","SP",63,2.20114716012595
4106902,"Curitiba","PR",58,1.97936357755141
5300108,"Brasília","DF",57,1.9350068610365
3534401,"Osasco","SP",56,1.89065014452159
3303302,"Niterói","RJ",56,1.89065014452159
3304557,"Rio de Janeiro","RJ",55,1.84629342800668
4205407,"Florianópolis","SC",54,1.80193671149178
3550308,"São Paulo","SP",53,1.75757999497687
3509502,"Campinas","SP",53,1.75757999497687
3543402,"Ribeirão Preto","SP",53,1.75757999497687
5208707,"Goiânia","GO",51,1.66886656194705
3106200,"Belo Horizonte","MG",49,1.58015312891723
3549904,"São José dos Campos","SP",48,1.53579641240233
2611606,"Recife","PE",47,1.49143969588742
1501402,"Belém","PA",47,1.49143969588742
3170206,"Uberlândia","MG",46,1.44708297937251
5002704,"Campo Grande","MS",45,1.4027262628576
2704302,"Maceió","AL",44,1.35836954634269
2927408,"Salvador","BA",42,1.26965611331287
3552205,"Sorocaba","SP",42,1.26965611331287
1302603,"Manaus","AM",41,1.22529939679797
4314902,"Porto Alegre","RS",41,1.22529939679797
2111300,"São Luís","MA",41,1.22529939679797
2507507,"João Pessoa","PB",40,1.18094268028306
2304400,"Fortaleza","CE",35,0.959159097708516
3518800,"Guarulhos","SP",0,-0.593325980313281
3304904,"São Gonçalo","RJ",0,-0.593325980313281
3301702,"Duque de Caxias","RJ",0,-0.593325980313281
2408102,"Natal","RN",0,-0.593325980313281
2211001,"Teresina","PI",0,-0.593325980313281
3303500,"Nova Iguaçu","RJ",0,-0.593325980313281
2607901,"Jaboatão dos Guararapes","PE",0,-0.593325980313281
3118601,"Contagem","MG",0,-0.593325980313281
2800308,"Aracaju","SE",0,-0.593325980313281
2910800,"Feira de Santana","BA",0,-0.593325980313281
5103403,"Cuiabá","MT",0,-0.593325980313281
4209102,"Joinville","SC",0,-0.593325980313281
5201405,"Aparecida de Goiânia","GO",0,-0.593325980313281
4113700,"Londrina","PR",0,-0.593325980313281
3136702,"Juiz de Fora","MG",0,-0.593325980313281
1100205,"Porto Velho","RO",0,-0.593325980313281
1500800,"Ananindeua","PA",0,-0.593325980313281
3205002,"Serra","ES",0,-0.593325980313281
4305108,"Caxias do Sul","RS",0,-0.593325980313281
1600303,"Macapá","AP",0,-0.593325980313281
3300456,"Belford Roxo","RJ",0,-0.593325980313281
3301009,"Campos dos Goytacazes","RJ",0,-0.593325980313281
3205200,"Vila Velha","ES",0,-0.593325980313281
3529401,"Mauá","SP",0,-0.593325980313281
3305109,"São João de Meriti","RJ",0,-0.593325980313281
3549805,"São José do Rio Preto","SP",0,-0.593325980313281
3530607,"Mogi das Cruzes","SP",0,-0.593325980313281
3106705,"Betim","MG",0,-0.593325980313281
1400100,"Boa Vista","RR",0,-0.593325980313281
4115200,"Maringá","PR",0,-0.593325980313281
3548500,"Santos","SP",0,-0.593325980313281
3525904,"Jundiaí","SP",0,-0.593325980313281
1200401,"Rio Branco","AC",0,-0.593325980313281
3143302,"Montes Claros","MG",0,-0.593325980313281
2504009,"Campina Grande","PB",0,-0.593325980313281
3538709,"Piracicaba","SP",0,-0.593325980313281
3510609,"Carapicuíba","SP",0,-0.593325980313281
5201108,"Anápolis","GO",0,-0.593325980313281
2609600,"Olinda","PE",0,-0.593325980313281
3201308,"Cariacica","ES",0,-0.593325980313281
3506003,"Bauru","SP",0,-0.593325980313281
3523107,"Itaquaquecetuba","SP",0,-0.593325980313281
3551009,"São Vicente","SP",0,-0.593325980313281
3205309,"Vitória","ES",0,-0.593325980313281
2604106,"Caruaru","PE",0,-0.593325980313281
2303709,"Caucaia","CE",0,-0.593325980313281
4202404,"Blumenau","SC",0,-0.593325980313281
2611101,"Petrolina","PE",0,-0.593325980313281
4119905,"Ponta Grossa","PR",0,-0.593325980313281
3516200,"Franca","SP",0,-0.593325980313281
4304606,"Canoas","RS",0,-0.593325980313281
4314407,"Pelotas","RS",0,-0.593325980313281
2933307,"Vitória da Conquista","BA",0,-0.593325980313281
3154606,"Ribeirão das Neves","MG",0,-0.593325980313281
3170107,"Uberaba","MG",0,-0.593325980313281
2610707,"Paulista","PE",0,-0.593325980313281
3541000,"Praia Grande","SP",0,-0.593325980313281
4104808,"Cascavel","PR",0,-0.593325980313281
4125506,"São José dos Pinhais","PR",0,-0.593325980313281
3518701,"Guarujá","SP",0,-0.593325980313281
3554102,"Taubaté","SP",0,-0.593325980313281
1721000,"Palmas","TO",0,-0.593325980313281
3526902,"Limeira","SP",0,-0.593325980313281
2905701,"Camaçari","BA",0,-0.593325980313281
1506807,"Santarém","PA",0,-0.593325980313281
3303906,"Petrópolis","RJ",0,-0.593325980313281
2408003,"Mossoró","RN",0,-0.593325980313281
3552502,"Suzano","SP",0,-0.593325980313281
3552809,"Taboão da Serra","SP",0,-0.593325980313281
5108402,"Várzea Grande","MT",0,-0.593325980313281
3552403,"Sumaré","SP",0,-0.593325980313281
1504208,"Marabá","PA",0,-0.593325980313281
4309209,"Gravataí","RS",0,-0.593325980313281
4316907,"Santa Maria","RS",0,-0.593325980313281
