"id_municipio","nome","sigla_uf","i711","i711_pad"
5201405,"Aparecida de Goiânia","GO",100,3.13661242984054
3525904,"Jundiaí","SP",85,2.55419205587211
3205002,"Serra","ES",71,2.01059970683491
5208707,"Goiânia","GO",69,1.93294365697245
3205200,"Vila Velha","ES",65,1.77763155724753
3304904,"São Gonçalo","RJ",64,1.73880353231631
2704302,"Maceió","AL",62,1.66114748245385
3534401,"Osasco","SP",59,1.54466340766016
2408102,"Natal","RN",58,1.50583538272893
2611606,"Recife","PE",53,1.31169525807279
3118601,"Contagem","MG",51,1.23403920821033
2927408,"Salvador","BA",50,1.19521118327911
1501402,"Belém","PA",50,1.19521118327911
2111300,"São Luís","MA",50,1.19521118327911
3301702,"Duque de Caxias","RJ",50,1.19521118327911
2507507,"João Pessoa","PB",50,1.19521118327911
3549904,"São José dos Campos","SP",50,1.19521118327911
4205407,"Florianópolis","SC",50,1.19521118327911
4113700,"Londrina","PR",49,1.15638315834788
3303302,"Niterói","RJ",49,1.15638315834788
5103403,"Cuiabá","MT",48,1.11755513341665
4209102,"Joinville","SC",48,1.11755513341665
3509502,"Campinas","SP",46,1.03989908355419
2304400,"Fortaleza","CE",43,0.923415008760506
4106902,"Curitiba","PR",43,0.923415008760506
2800308,"Aracaju","SE",42,0.884586983829277
1302603,"Manaus","AM",41,0.845758958898049
3547809,"Santo André","SP",41,0.845758958898049
3552205,"Sorocaba","SP",41,0.845758958898049
3550308,"São Paulo","SP",40,0.80693093396682
3543402,"Ribeirão Preto","SP",40,0.80693093396682
3304557,"Rio de Janeiro","RJ",39,0.768102909035592
5300108,"Brasília","DF",39,0.768102909035592
3513801,"Diadema","SP",39,0.768102909035592
3106200,"Belo Horizonte","MG",38,0.729274884104363
4314902,"Porto Alegre","RS",34,0.573962784379448
2211001,"Teresina","PI",33,0.53513475944822
5002704,"Campo Grande","MS",32,0.496306734516991
3548708,"São Bernardo do Campo","SP",29,0.379822659723306
3518800,"Guarulhos","SP",0,-0.746190063282324
3303500,"Nova Iguaçu","RJ",0,-0.746190063282324
2607901,"Jaboatão dos Guararapes","PE",0,-0.746190063282324
3170206,"Uberlândia","MG",0,-0.746190063282324
2910800,"Feira de Santana","BA",0,-0.746190063282324
3136702,"Juiz de Fora","MG",0,-0.746190063282324
1100205,"Porto Velho","RO",0,-0.746190063282324
1500800,"Ananindeua","PA",0,-0.746190063282324
4305108,"Caxias do Sul","RS",0,-0.746190063282324
1600303,"Macapá","AP",0,-0.746190063282324
3300456,"Belford Roxo","RJ",0,-0.746190063282324
3301009,"Campos dos Goytacazes","RJ",0,-0.746190063282324
3529401,"Mauá","SP",0,-0.746190063282324
3305109,"São João de Meriti","RJ",0,-0.746190063282324
3549805,"São José do Rio Preto","SP",0,-0.746190063282324
3530607,"Mogi das Cruzes","SP",0,-0.746190063282324
3106705,"Betim","MG",0,-0.746190063282324
1400100,"Boa Vista","RR",0,-0.746190063282324
4115200,"Maringá","PR",0,-0.746190063282324
3548500,"Santos","SP",0,-0.746190063282324
1200401,"Rio Branco","AC",0,-0.746190063282324
3143302,"Montes Claros","MG",0,-0.746190063282324
2504009,"Campina Grande","PB",0,-0.746190063282324
3538709,"Piracicaba","SP",0,-0.746190063282324
3510609,"Carapicuíba","SP",0,-0.746190063282324
5201108,"Anápolis","GO",0,-0.746190063282324
2609600,"Olinda","PE",0,-0.746190063282324
3201308,"Cariacica","ES",0,-0.746190063282324
3506003,"Bauru","SP",0,-0.746190063282324
3523107,"Itaquaquecetuba","SP",0,-0.746190063282324
3551009,"São Vicente","SP",0,-0.746190063282324
3205309,"Vitória","ES",0,-0.746190063282324
2604106,"Caruaru","PE",0,-0.746190063282324
2303709,"Caucaia","CE",0,-0.746190063282324
4202404,"Blumenau","SC",0,-0.746190063282324
2611101,"Petrolina","PE",0,-0.746190063282324
4119905,"Ponta Grossa","PR",0,-0.746190063282324
3516200,"Franca","SP",0,-0.746190063282324
4304606,"Canoas","RS",0,-0.746190063282324
4314407,"Pelotas","RS",0,-0.746190063282324
2933307,"Vitória da Conquista","BA",0,-0.746190063282324
3154606,"Ribeirão das Neves","MG",0,-0.746190063282324
3170107,"Uberaba","MG",0,-0.746190063282324
2610707,"Paulista","PE",0,-0.746190063282324
3541000,"Praia Grande","SP",0,-0.746190063282324
4104808,"Cascavel","PR",0,-0.746190063282324
4125506,"São José dos Pinhais","PR",0,-0.746190063282324
3518701,"Guarujá","SP",0,-0.746190063282324
3554102,"Taubaté","SP",0,-0.746190063282324
1721000,"Palmas","TO",0,-0.746190063282324
3526902,"Limeira","SP",0,-0.746190063282324
2905701,"Camaçari","BA",0,-0.746190063282324
1506807,"Santarém","PA",0,-0.746190063282324
3303906,"Petrópolis","RJ",0,-0.746190063282324
2408003,"Mossoró","RN",0,-0.746190063282324
3552502,"Suzano","SP",0,-0.746190063282324
3552809,"Taboão da Serra","SP",0,-0.746190063282324
5108402,"Várzea Grande","MT",0,-0.746190063282324
3552403,"Sumaré","SP",0,-0.746190063282324
1504208,"Marabá","PA",0,-0.746190063282324
4309209,"Gravataí","RS",0,-0.746190063282324
4316907,"Santa Maria","RS",0,-0.746190063282324
