"id_municipio","nome","sigla_uf","i724","i724_pad"
1721000,"Palmas","TO",85,2.44258218281198
3548708,"São Bernardo do Campo","SP",76,2.10412071876075
3513801,"Diadema","SP",74,2.0289070600827
3550308,"São Paulo","SP",66,1.72805242537049
3506003,"Bauru","SP",66,1.72805242537049
3538709,"Piracicaba","SP",65,1.69044559603146
4314407,"Pelotas","RS",65,1.69044559603146
2408102,"Natal","RN",64,1.65283876669244
2211001,"Teresina","PI",64,1.65283876669244
3552205,"Sorocaba","SP",61,1.54001827867536
2704302,"Maceió","AL",60,1.50241144933633
3534401,"Osasco","SP",60,1.50241144933633
3548500,"Santos","SP",60,1.50241144933633
4304606,"Canoas","RS",60,1.50241144933633
3547809,"Santo André","SP",55,1.3143773026412
2611606,"Recife","PE",53,1.23916364396315
3301702,"Duque de Caxias","RJ",53,1.23916364396315
4314902,"Porto Alegre","RS",52,1.20155681462413
3509502,"Campinas","SP",52,1.20155681462413
2111300,"São Luís","MA",52,1.20155681462413
3549904,"São José dos Campos","SP",52,1.20155681462413
3525904,"Jundiaí","SP",52,1.20155681462413
1302603,"Manaus","AM",51,1.1639499852851
3543402,"Ribeirão Preto","SP",51,1.1639499852851
1501402,"Belém","PA",48,1.05112949726802
3303500,"Nova Iguaçu","RJ",46,0.97591583858997
2800308,"Aracaju","SE",46,0.97591583858997
3304557,"Rio de Janeiro","RJ",44,0.900702179911918
5300108,"Brasília","DF",43,0.863095350572892
3304904,"São Gonçalo","RJ",43,0.863095350572892
5208707,"Goiânia","GO",41,0.78788169189484
3118601,"Contagem","MG",38,0.675061203877762
4205407,"Florianópolis","SC",37,0.637454374538737
5002704,"Campo Grande","MS",34,0.524633886521659
2927408,"Salvador","BA",33,0.487027057182633
2304400,"Fortaleza","CE",32,0.449420227843607
3303302,"Niterói","RJ",32,0.449420227843607
4106902,"Curitiba","PR",30,0.374206569165555
3106200,"Belo Horizonte","MG",29,0.336599739826529
3518800,"Guarulhos","SP",0,-0.753998311005223
2507507,"João Pessoa","PB",0,-0.753998311005223
2607901,"Jaboatão dos Guararapes","PE",0,-0.753998311005223
3170206,"Uberlândia","MG",0,-0.753998311005223
2910800,"Feira de Santana","BA",0,-0.753998311005223
5103403,"Cuiabá","MT",0,-0.753998311005223
4209102,"Joinville","SC",0,-0.753998311005223
5201405,"Aparecida de Goiânia","GO",0,-0.753998311005223
4113700,"Londrina","PR",0,-0.753998311005223
3136702,"Juiz de Fora","MG",0,-0.753998311005223
1100205,"Porto Velho","RO",0,-0.753998311005223
1500800,"Ananindeua","PA",0,-0.753998311005223
3205002,"Serra","ES",0,-0.753998311005223
4305108,"Caxias do Sul","RS",0,-0.753998311005223
1600303,"Macapá","AP",0,-0.753998311005223
3300456,"Belford Roxo","RJ",0,-0.753998311005223
3301009,"Campos dos Goytacazes","RJ",0,-0.753998311005223
3205200,"Vila Velha","ES",0,-0.753998311005223
3529401,"Mauá","SP",0,-0.753998311005223
3305109,"São João de Meriti","RJ",0,-0.753998311005223
3549805,"São José do Rio Preto","SP",0,-0.753998311005223
3530607,"Mogi das Cruzes","SP",0,-0.753998311005223
3106705,"Betim","MG",0,-0.753998311005223
1400100,"Boa Vista","RR",0,-0.753998311005223
4115200,"Maringá","PR",0,-0.753998311005223
1200401,"Rio Branco","AC",0,-0.753998311005223
3143302,"Montes Claros","MG",0,-0.753998311005223
2504009,"Campina Grande","PB",0,-0.753998311005223
3510609,"Carapicuíba","SP",0,-0.753998311005223
5201108,"Anápolis","GO",0,-0.753998311005223
2609600,"Olinda","PE",0,-0.753998311005223
3201308,"Cariacica","ES",0,-0.753998311005223
3523107,"Itaquaquecetuba","SP",0,-0.753998311005223
3551009,"São Vicente","SP",0,-0.753998311005223
3205309,"Vitória","ES",0,-0.753998311005223
2604106,"Caruaru","PE",0,-0.753998311005223
2303709,"Caucaia","CE",0,-0.753998311005223
4202404,"Blumenau","SC",0,-0.753998311005223
2611101,"Petrolina","PE",0,-0.753998311005223
4119905,"Ponta Grossa","PR",0,-0.753998311005223
3516200,"Franca","SP",0,-0.753998311005223
2933307,"Vitória da Conquista","BA",0,-0.753998311005223
3154606,"Ribeirão das Neves","MG",0,-0.753998311005223
3170107,"Uberaba","MG",0,-0.753998311005223
2610707,"Paulista","PE",0,-0.753998311005223
3541000,"Praia Grande","SP",0,-0.753998311005223
4104808,"Cascavel","PR",0,-0.753998311005223
4125506,"São José dos Pinhais","PR",0,-0.753998311005223
3518701,"Guarujá","SP",0,-0.753998311005223
3554102,"Taubaté","SP",0,-0.753998311005223
3526902,"Limeira","SP",0,-0.753998311005223
2905701,"Camaçari","BA",0,-0.753998311005223
1506807,"Santarém","PA",0,-0.753998311005223
3303906,"Petrópolis","RJ",0,-0.753998311005223
2408003,"Mossoró","RN",0,-0.753998311005223
3552502,"Suzano","SP",0,-0.753998311005223
3552809,"Taboão da Serra","SP",0,-0.753998311005223
5108402,"Várzea Grande","MT",0,-0.753998311005223
3552403,"Sumaré","SP",0,-0.753998311005223
1504208,"Marabá","PA",0,-0.753998311005223
4309209,"Gravataí","RS",0,-0.753998311005223
4316907,"Santa Maria","RS",0,-0.753998311005223
