id_municipio,sigla_uf,nome,i113
5108402,MT,Varzea Grande,1.4259385721690623
5103403,MT,Cuiaba,1.3437729062754942
2609600,PE,Olinda,1.1038067431432168
3303500,RJ,Nova Iguacu,1.0743843727023727
1100205,RO,Porto Velho,1.0657612494974265
2800308,SE,Aracaju,1.0638767881161597
2704302,AL,Maceio,1.0634202393706518
3303906,RJ,Petropolis,1.0629857147389026
2607901,PE,Jaboatao Dos Guararapes,1.062543153995375
1400100,RR,Boa Vista,1.0624054841021868
2611606,PE,Recife,1.0495655272563449
2504009,PB,Campina Grande,1.0490228308519662
3305109,RJ,Sao Joao De Meriti,1.0488682969889893
1200401,AC,Rio Branco,1.0484885059084401
4205407,SC,Florianopolis,1.0445859884585356
5208707,GO,Goiania,1.0441192268307173
2304400,CE,Fortaleza,1.0434148588184629
3106200,MG,Belo Horizonte,1.0433511833190166
2408003,RN,Mossoro,1.0425043507754677
1600303,AP,Macapa,1.0415081268359159
2408102,RN,Natal,1.0396092531421344
1721000,TO,Palmas,1.038558679912443
3170107,MG,Uberaba,1.0385341237975265
3143302,MG,Montes Claros,1.037460924673716
3301702,RJ,Duque De Caxias,1.037190197691865
4314902,RS,Porto Alegre,1.0371404760899492
3303302,RJ,Niteroi,1.0366507859098923
3301009,RJ,Campos Dos Goytacazes,1.0362376913042206
4106902,PR,Curitiba,1.036071987497165
3106705,MG,Betim,1.0354972437259475
2927408,BA,Salvador,1.0341770221625504
2111300,MA,Sao Luis,1.0339875539980814
2507507,PB,Joao Pessoa,1.0338721096865127
3118601,MG,Contagem,1.0332543059674908
3304557,RJ,Rio De Janeiro,1.0321220101015363
3205309,ES,Vitoria,1.0315066035766065
2303709,CE,Caucaia,1.0306786693447887
4316907,RS,Santa Maria,1.0305486098263998
4305108,RS,Caxias Do Sul,1.0303656700944446
3300456,RJ,Belford Roxo,1.0301640107123426
5300108,DF,Brasilia,1.0294945985536754
2910800,BA,Feira De Santana,1.02920554772363
2611101,PE,Petrolina,1.029097945226039
2604106,PE,Caruaru,1.0288536116263334
3549904,SP,Sao Jose Dos Campos,1.0281799078504539
4314407,RS,Pelotas,1.0279365926024704
1506807,PA,Santarem,1.0278065794796656
5201108,GO,Anapolis,1.0276165987964803
3170206,MG,Uberlandia,1.0269301984283479
3136702,MG,Juiz De Fora,1.026512398856987
1302603,AM,Manaus,1.026404979068711
4309209,RS,Gravatai,1.0262893893793776
3525904,SP,Jundiai,1.0254761086770154
3550308,SP,Sao Paulo,1.02509741332291
3205200,ES,Vila Velha,1.024962339746695
1504208,PA,Maraba,1.024741633999701
1500800,PA,Ananindeua,1.0247291758504582
3543402,SP,Ribeirao Preto,1.0244444932022723
4104808,PR,Cascavel,1.0244095998958431
4304606,RS,Canoas,1.0239027087387589
4119905,PR,Ponta Grossa,1.0231901547680518
3205002,ES,Serra,1.0228093496843698
4125506,PR,Sao Jose Dos Pinhais,1.022627962928971
5002704,MS,Campo Grande,1.0226113539347603
2211001,PI,Teresina,1.0225951791922285
4115200,PR,Maringa,1.0222527347621688
4113700,PR,Londrina,1.0220665760070051
3506003,SP,Bauru,1.0217296124908224
5201405,GO,Aparecida De Goiania,1.0208115214938427
3547809,SP,Santo Andre,1.0202049858691913
3548708,SP,Sao Bernardo Do Campo,1.0198880445434912
1501402,PA,Belem,1.0194142503364698
3154606,MG,Ribeirao Das Neves,1.019373765823341
2933307,BA,Vitoria Da Conquista,1.0193412977942191
3549805,SP,Sao Jose Do Rio Preto,1.0186293195993812
4209102,SC,Joinville,1.018504485940732
3526902,SP,Limeira,1.0182490215675852
3510609,SP,Carapicuiba,1.018218330532971
4202404,SC,Blumenau,1.017184904072775
3530607,SP,Mogi Das Cruzes,1.016861018254677
3534401,SP,Osasco,1.016698067536143
3516200,SP,Franca,1.0158118790605246
3201308,ES,Cariacica,1.0157474908429678
3548500,SP,Santos,1.0143369391930848
3552205,SP,Sorocaba,1.013585399460392
3529401,SP,Maua,1.0135731260592953
3509502,SP,Campinas,1.0131089749987954
3513801,SP,Diadema,1.0123544249055916
3518800,SP,Guarulhos,1.0120587534221928
3552403,SP,Sumare,1.0120120412676454
2610707,PE,Paulista,1.0107827629731938
3554102,SP,Taubate,1.0102521350730762
2905701,BA,Camacari,1.0100600486156388
3304904,RJ,Sao Goncalo,1.0098681021744746
3552502,SP,Suzano,1.008949494405347
3538709,SP,Piracicaba,1.0075984599592696
3552809,SP,Taboao Da Serra,1.0068042686833019
3551009,SP,Sao Vicente,1.0066873271383245
3541000,SP,Praia Grande,1.0059928634870647
3518701,SP,Guaruja,1.0039358573959418
3523107,SP,Itaquaquecetuba,1.003719218660804
