id_municipio,sigla_uf,nome,i111,i112
1200401,AC,Rio Branco,0.11108021671869714,0.016872940280734383
2704302,AL,Maceio,0.34309559280083213,0.019806183972103927
1302603,AM,Manaus,0.10501885043885886,0.021461058942422447
1600303,AP,Macapa,0.06828817127532137,0.019654788740451328
2910800,BA,Feira De Santana,0.026703370470102912,0.007612813832845878
2933307,BA,Vitoria Da Conquista,0.01732192698143808,0.007612813832845878
2905701,BA,Camacari,0.008187962671048675,0.007612813832845878
2927408,BA,Salvador,0.0069547043388048825,0.007612813832845878
2304400,CE,Fortaleza,0.06672793322238009,0.015387386252026047
2303709,CE,Caucaia,0.012760166064393773,0.015387386252026047
5300108,DF,Brasilia,0.07356992527831735,0.03445808479688203
3205309,ES,Vitoria,0.3753670238466687,0.023194233368230788
3205200,ES,Vila Velha,0.15224242089066867,0.023194233368230788
3205002,ES,Serra,0.1042694440729692,0.023194233368230788
3201308,ES,Cariacica,0.05564709864524257,0.023194233368230788
5208707,GO,Goiania,0.08807425202018775,0.038960299040099886
5201405,GO,Aparecida De Goiania,0.06319086467112865,0.038960299040099886
5201108,GO,Anapolis,0,0.038960299040099886
2111300,MA,Sao Luis,0.061539559889572104,0.0206529008997197
3106200,MG,Belo Horizonte,0.1796068961915948,0.014371480499987854
3106705,MG,Betim,0.09016952950539232,0.014371480499987854
3170206,MG,Uberlandia,0.04361811660276573,0.014371480499987854
3118601,MG,Contagem,0.03951280532860558,0.014371480499987854
3170107,MG,Uberaba,0.03880533881300534,0.014371480499987854
3136702,MG,Juiz De Fora,0.020041844272664273,0.014371480499987854
3154606,MG,Ribeirao Das Neves,0.01832264875423591,0.014371480499987854
3143302,MG,Montes Claros,0.013988754950176653,0.014371480499987854
5002704,MS,Campo Grande,0.05582842543039721,0.031186558634825962
5108402,MT,Varzea Grande,0.07533947974160263,0.03259395497801173
5103403,MT,Cuiaba,0.07335758145064027,0.03259395497801173
1506807,PA,Santarem,0.05025533148458543,0.030238492965002178
1504208,PA,Maraba,0.03585907037112956,0.030238492965002178
1500800,PA,Ananindeua,0.021572501777795086,0.030238492965002178
1501402,PA,Belem,0.021167581576673204,0.030238492965002178
2507507,PB,Joao Pessoa,0.0454534367689194,0.014826988388181236
2504009,PB,Campina Grande,0.040320477922072114,0.014826988388181236
2611606,PE,Recife,0.03854783548214202,0.0162090373984493
2611101,PE,Petrolina,0.02450535573902554,0.0162090373984493
2607901,PE,Jaboatao Dos Guararapes,0.024452181312903852,0.0162090373984493
2604106,PE,Caruaru,0.023626044977575335,0.0162090373984493
2609600,PE,Olinda,0.020160848524727548,0.0162090373984493
2610707,PE,Paulista,0.016730974199538902,0.0162090373984493
2211001,PI,Teresina,0.01810652390888851,0.02850292003290433
4104808,PR,Cascavel,0.41461063040542745,0.016827667745027787
4106902,PR,Curitiba,0.15776615527444307,0.016827667745027787
4113700,PR,Londrina,0.051484465979621,0.016827667745027787
4125506,PR,Sao Jose Dos Pinhais,0.04070489714463926,0.016827667745027787
4119905,PR,Ponta Grossa,0.029916327433111806,0.016827667745027787
4115200,PR,Maringa,0,0.016827667745027787
3304557,RJ,Rio De Janeiro,1600.0000352000009,0.021608453189356617
3303906,RJ,Petropolis,0.08676576846121356,0.021608453189356617
3301009,RJ,Campos Dos Goytacazes,0.04965389875742882,0.021608453189356617
3303302,RJ,Niteroi,0.04882901988539766,0.021608453189356617
3301702,RJ,Duque De Caxias,0.04790249290119984,0.021608453189356617
3305109,RJ,Sao Joao De Meriti,0.03417008044451948,0.021608453189356617
3303500,RJ,Nova Iguacu,0.03159652861481834,0.021608453189356617
3300456,RJ,Belford Roxo,0.022117062144874598,0.021608453189356617
3304904,RJ,Sao Goncalo,0.0220642360114733,0.021608453189356617
2408102,RN,Natal,0.08679541711738144,0.022357670588402163
2408003,RN,Mossoro,0.07051010730298125,0.022357670588402163
1100205,RO,Porto Velho,0.0906453286511499,0.02397929430522558
1400100,RR,Boa Vista,0.05703780279546388,0.03202890648238457
4309209,RS,Gravatai,0.10852757593796955,0.01686736771017009
4316907,RS,Santa Maria,0.05578778195454309,0.01686736771017009
4304606,RS,Canoas,0.055465705309232775,0.01686736771017009
4314407,RS,Pelotas,0.04819054846794566,0.01686736771017009
4314902,RS,Porto Alegre,0.02166076377142717,0.01686736771017009
4305108,RS,Caxias Do Sul,0.020282284827998258,0.01686736771017009
4205407,SC,Florianopolis,0.03920637132958844,0.0642636653169624
4202404,SC,Blumenau,0.017752104337922146,0.0642636653169624
4209102,SC,Joinville,0.012829599854822082,0.0642636653169624
2800308,SE,Aracaju,0.05580639431467721,0.06603462749376324
3549904,SP,Sao Jose Dos Campos,0.45869357282057044,0.01713982791015774
3550308,SP,Sao Paulo,0.32603717563997753,0.01713982791015774
3547809,SP,Santo Andre,0.2767872166497477,0.01713982791015774
3526902,SP,Limeira,0.21474186680083127,0.01713982791015774
3554102,SP,Taubate,0.12480992281361504,0.01713982791015774
3548500,SP,Santos,0.09414569776755413,0.01713982791015774
3543402,SP,Ribeirao Preto,0.0862799880452621,0.01713982791015774
3529401,SP,Maua,0.07920834045919654,0.01713982791015774
3551009,SP,Sao Vicente,0.07619376658038444,0.01713982791015774
3506003,SP,Bauru,0.06599833414878503,0.01713982791015774
3552809,SP,Taboao Da Serra,0.05700975187202053,0.01713982791015774
3548708,SP,Sao Bernardo Do Campo,0.05492409529772322,0.01713982791015774
3538709,SP,Piracicaba,0.051928522374090555,0.01713982791015774
3534401,SP,Osasco,0.04985610946846227,0.01713982791015774
