"id_municipio","nome","sigla_uf","i413","i413_pad"
"4314902","Porto Alegre","RS",79549.9521952658,5.36495282472345
"3550308","São Paulo","SP",68940.7270354584,4.50900242958965
"3205309","Vitória","ES",50533.7856706014,3.02393368072918
"3304557","Rio de Janeiro","RJ",38967.2574613379,2.0907482461743
"4106902","Curitiba","PR",38169.9470827397,2.0264213869244
"3106200","Belo Horizonte","MG",35641.9274137877,1.82246121057306
"3548500","Santos","SP",31482.6229898777,1.4868892709167
"5300108","Brasília","DF",28852.0511148635,1.27465520085695
"3509502","Campinas","SP",27500.8129152405,1.16563754372691
"3525904","Jundiaí","SP",24625.3689507771,0.933647237131115
"3303302","Niterói","RJ",24308.5675817873,0.908087759140868
"3534401","Osasco","SP",24282.3701292221,0.905974153336774
"4205407","Florianópolis","SC",24122.5727091094,0.893081725960923
"3543402","Ribeirão Preto","SP",23917.0047367369,0.876496538585911
"2611606","Recife","PE",21311.5920944819,0.66629231094133
"3549805","São José do Rio Preto","SP",20040.2374262799,0.563719642889625
"3538709","Piracicaba","SP",19875.0501322284,0.550392361444972
"3548708","São Bernardo do Campo","SP",18378.8744119717,0.429681170980748
"5208707","Goiânia","GO",17777.3766271585,0.38115243690001
"3547809","Santo André","SP",16994.1251614543,0.317959848236846
"4202404","Blumenau","SC",16803.1436856268,0.302551496803502
"4305108","Caxias do Sul","RS",16713.1015855922,0.295286916219871
"5103403","Cuiabá","MT",16531.0994573566,0.28060301694996
"4115200","Maringá","PR",16487.6712985025,0.27709924083331
"4209102","Joinville","SC",16021.3550854297,0.239476931868734
"2800308","Aracaju","SE",15852.3564317722,0.225842150610321
"4113700","Londrina","PR",15033.5674918656,0.159782404861944
"3506003","Bauru","SP",14633.9416173704,0.127540660528366
"2927408","Salvador","BA",14462.9042632897,0.113741397283138
"3552205","Sorocaba","SP",14010.0913511321,0.0772085322298745
"2304400","Fortaleza","CE",13835.6991877978,0.0631386035719621
"3526902","Limeira","SP",13343.1289806714,0.0233981270460899
"3549904","São José dos Campos","SP",13201.699614816,0.0119876310141973
"3303906","Petrópolis","RJ",13003.8481917277,-0.0039749865398016
"3170206","Uberlândia","MG",12943.3609794551,-0.00885508404601961
"3136702","Juiz de Fora","MG",12898.5739855108,-0.0124684907355772
"3516200","Franca","SP",12642.8949179866,-0.0330966323367038
"3554102","Taubaté","SP",11906.0292625148,-0.0925468220971283
"4104808","Cascavel","PR",11573.7020825832,-0.119358919747178
"3513801","Diadema","SP",11496.4659597253,-0.125590316374457
"1501402","Belém","PA",11291.902255679,-0.142094479559888
"3530607","Mogi das Cruzes","SP",11192.5884562114,-0.150107099201383
"4316907","Santa Maria","RS",10393.7830543662,-0.214554576660415
